%%% Data to be read on the pyvrft package %%%
%%% First experiment on the pilot plant %%%
%%% Organized as follows %%%
y1,y2,u1,u2
21.472,26.022,75,20
21.472,26.022,75,20
21.466,26.002,75,20
21.445,26.002,75,20
21.484,26.008,75,20
21.478,25.989,75,20
21.478,25.989,75,20
21.402,25.969,75,20
21.472,25.962,75,20
21.465,25.949,75,20
21.422,25.942,75,20
21.422,25.942,75,20
21.398,25.903,75,20
21.485,25.923,75,20
21.446,25.883,75,20
21.428,25.876,75,20
21.428,25.876,75,20
21.382,25.863,75,20
21.404,25.863,75,20
21.429,25.823,75,20
21.414,25.823,75,20
21.414,25.823,75,20
21.459,25.843,75,20
21.485,25.829,75,20
21.433,25.818,75,20
21.428,25.816,75,20
21.428,25.816,75,20
21.42,25.809,75,20
21.433,25.809,75,20
21.376,25.822,75,20
21.421,25.849,75,20
21.421,25.849,75,20
21.415,25.829,75,20
21.441,25.817,75,20
21.389,25.809,75,20
21.403,25.863,75,20
21.403,25.863,75,20
21.433,25.843,75,20
21.437,25.896,75,20
21.407,25.869,75,20
21.421,25.883,75,20
21.421,25.883,75,20
21.389,25.882,75,20
21.435,25.883,75,20
21.502,25.909,75,20
21.451,25.916,75,20
21.451,25.916,75,20
21.472,25.969,75,20
21.441,25.922,75,20
21.427,25.929,75,20
21.481,25.949,75,20
21.481,25.949,75,20
21.407,25.969,75,20
21.396,25.956,75,20
21.439,25.962,75,20
21.466,25.989,75,20
21.466,25.989,75,20
21.397,25.976,75,20
21.522,25.982,75,20
21.439,25.976,75,20
21.424,25.989,75,20
21.424,25.989,75,20
21.433,25.982,75,20
21.464,26.002,75,20
21.425,25.988,75,20
21.46,25.975,75,20
21.46,25.975,75,20
21.47,26.008,75,20
21.391,26.035,75,20
21.403,26.022,75,20
21.439,26.029,75,20
21.439,26.029,75,20
21.402,26.042,75,20
21.497,26.028,75,20
21.484,26.035,75,20
21.567,26.042,75,20
21.567,26.042,75,20
21.439,26.029,75,20
21.479,26.042,75,20
21.44,26.035,75,20
21.504,25.982,75,20
21.504,25.982,75,20
21.472,26.002,75,20
21.466,25.995,75,20
21.49,25.976,75,20
21.565,25.962,75,20
21.565,25.962,75,20
21.499,25.969,75,20
21.508,25.922,75,20
21.478,25.909,75,20
21.451,25.909,75,20
21.451,25.909,75,20
21.434,25.889,75,20
21.428,25.855,75,20
21.484,25.842,75,20
21.495,25.836,75,20
21.495,25.836,75,20
21.496,25.816,75,20
21.489,25.828,75,20
21.437,25.796,75,20
21.458,25.796,75,20
21.458,25.796,75,20
21.344,25.803,75,20
21.387,25.823,75,20
21.458,25.829,75,20
21.441,25.81,75,20
21.441,25.81,75,20
21.454,25.829,75,20
21.363,25.823,75,20
21.42,25.849,75,20
21.409,25.856,75,20
21.409,25.856,75,20
21.393,25.843,75,20
21.364,25.874,75,20
21.407,25.843,75,20
21.427,25.849,75,20
21.427,25.849,75,20
21.39,25.875,75,20
21.414,25.883,75,20
21.39,25.876,75,20
21.43,25.882,75,20
21.43,25.882,75,20
21.438,25.869,75,20
21.458,25.883,75,20
21.375,25.922,75,20
21.375,25.916,75,20
21.375,25.916,75,20
21.419,25.902,75,20
21.464,25.903,75,20
21.433,25.936,75,20
21.437,25.922,75,20
21.437,25.922,75,20
21.38,25.936,75,20
21.4,25.936,75,20
21.382,25.955,75,20
21.351,25.955,75,20
21.351,25.955,75,20
21.351,25.975,75,20
21.384,25.955,75,20
21.37,25.962,75,20
21.371,25.975,75,20
21.371,25.975,75,20
21.384,25.955,75,20
21.433,25.975,75,20
21.402,25.989,75,20
21.375,26.002,75,20
21.375,26.002,75,20
21.376,26.002,75,20
21.344,26.015,75,20
21.393,26.029,75,20
21.353,26.002,75,20
21.344,26.009,75,20
21.344,26.009,75,20
21.356,26.048,75,20
21.344,26.022,75,20
21.345,26.022,75,20
21.345,26.022,75,20
21.403,26.015,75,20
21.399,26.009,75,20
21.353,26.035,75,20
21.368,26.028,75,20
21.368,26.028,75,20
21.347,26.028,75,20
21.382,26.029,75,20
21.383,26.042,75,20
21.42,26.049,75,20
21.42,26.049,75,20
21.384,26.049,75,20
21.401,26.035,75,20
21.401,26.055,75,20
21.405,26.035,75,20
21.426,26.042,75,20
21.426,26.042,75,20
21.407,26.062,75,20
21.363,26.048,75,20
21.405,26.049,75,20
21.405,26.049,75,20
21.396,26.029,75,20
21.408,26.034,75,20
21.412,26.002,75,20
21.413,26.002,75,20
21.413,26.002,75,20
21.413,25.975,75,20
21.427,25.987,75,20
21.41,25.942,75,20
21.364,25.941,75,20
21.364,25.941,75,20
21.376,25.935,75,20
21.394,25.948,75,20
21.4,25.909,75,20
21.376,25.916,75,20
21.376,25.916,75,20
21.413,25.889,75,20
21.445,25.876,75,20
21.382,25.883,75,20
21.357,25.862,75,20
21.403,25.903,75,20
21.403,25.903,75,20
21.357,25.909,75,20
21.371,25.855,75,20
21.36,25.902,75,20
21.36,25.902,75,20
21.353,25.896,75,20
21.338,25.922,75,20
21.318,25.909,75,20
21.384,25.909,75,20
21.359,25.936,75,20
21.359,25.936,75,20
21.414,25.909,75,20
21.368,25.942,75,20
21.407,25.962,75,20
21.344,25.969,75,20
21.344,25.969,75,20
21.344,25.961,75,20
21.331,25.981,75,20
21.375,25.982,75,20
21.375,25.982,75,20
21.37,25.988,75,20
21.337,25.989,75,20
21.325,25.995,75,20
21.395,25.989,75,20
21.331,26.002,75,20
21.331,26.002,75,20
21.415,26.002,75,20
21.387,26.028,75,20
21.393,26.042,75,20
21.433,26.049,75,20
21.433,26.049,75,20
21.437,26.015,75,20
21.409,26.075,75,20
21.448,26.082,75,20
21.33,26.062,75,20
21.33,26.062,75,20
21.382,26.075,75,20
21.409,26.075,75,20
21.379,26.082,75,20
21.379,26.082,75,20
21.422,26.068,75,20
21.387,26.055,75,20
21.375,26.042,75,20
21.332,26.062,75,20
21.332,26.062,75,20
21.344,26.055,75,20
21.364,26.062,75,20
21.317,26.075,75,20
21.337,26.075,75,20
21.337,26.075,75,20
21.407,26.062,75,20
21.343,26.015,75,20
21.407,26.015,75,20
21.388,26.022,75,20
21.388,26.022,75,20
21.402,25.975,75,20
21.384,25.975,75,20
21.351,25.942,75,20
21.316,25.948,75,20
21.316,25.948,75,20
21.401,25.902,75,20
21.407,25.882,75,20
21.381,25.896,75,20
21.433,25.902,75,20
21.433,25.902,75,20
21.376,25.869,75,20
21.407,25.876,75,20
21.348,25.896,75,20
21.348,25.896,75,20
21.363,25.863,75,20
21.349,25.895,75,20
21.378,25.889,70,30
21.378,25.889,70,30
21.374,25.895,70,30
21.363,25.876,70,30
21.298,25.863,70,30
21.318,25.85,70,30
21.318,25.85,70,30
21.242,25.85,70,30
21.256,25.85,70,30
21.158,25.836,70,30
21.147,25.822,70,30
21.147,25.822,70,30
21.172,25.829,70,30
21.065,25.798,70,30
21.033,25.802,70,30
21.007,25.822,70,30
21.007,25.822,70,30
20.976,25.81,70,30
20.865,25.842,70,30
20.896,25.816,70,30
20.951,25.802,70,30
20.951,25.802,70,30
20.906,25.816,70,30
20.906,25.763,70,30
20.796,25.776,70,30
20.796,25.736,70,30
20.796,25.736,70,30
20.777,25.736,70,30
20.784,25.75,70,30
20.639,25.716,70,30
20.639,25.709,70,30
20.639,25.709,70,30
20.65,25.709,70,30
20.619,25.676,70,30
20.57,25.63,70,30
20.57,25.676,70,30
20.57,25.676,70,30
20.498,25.637,70,30
20.498,25.637,70,30
20.41,25.617,70,30
20.41,25.603,70,30
20.41,25.603,70,30
20.359,25.623,70,30
20.327,25.623,70,30
20.339,25.652,70,30
20.251,25.63,70,30
20.251,25.63,70,30
20.283,25.654,70,30
20.211,25.643,70,30
20.294,25.676,70,30
20.213,25.656,70,30
20.213,25.656,70,30
20.213,25.65,70,30
20.176,25.663,70,30
20.177,25.683,70,30
20.143,25.709,70,30
20.143,25.709,70,30
20.1,25.69,70,30
20.054,25.696,70,30
20.06,25.723,70,30
19.99,25.716,70,30
