%%% Data to be read on the pyvrft package %%%
%%% First experiment on the pilot plant %%%
%%% Organized as follows %%%
y1,y2,u1,u2
-0.69911,-0.82482,0,0
-0.69911,-0.82482,0,0
-0.68396,-0.81664,0,0
-0.7164,-0.81766,0,0
-0.7164,-0.79099,0,0
-0.66561,-0.77146,0,0
-0.66561,-0.77146,0,0
-0.66561,-0.79099,0,0
-0.63842,-0.79099,0,0
-0.68601,-0.81782,0,0
-0.68601,-0.77115,0,0
-0.68601,-0.77115,0,0
-0.70178,-0.7913,0,0
-0.67718,-0.7913,0,0
-0.7033,-0.7913,0,0
-0.7033,-0.78461,0,0
-0.7033,-0.78461,0,0
-0.64687,-0.78477,0,0
-0.67292,-0.7913,0,0
-0.69576,-0.77784,0,0
-0.7544,-0.80499,0,0
-0.7544,-0.80499,0,0
-0.69691,-0.80428,0,0
-0.69112,-0.79814,0,0
-0.67832,-0.79783,0,0
-0.72721,-0.81105,0,0
-0.72721,-0.81105,0,0
-0.6781,-0.81097,0,0
-0.68472,-0.81782,0,0
-0.72356,-0.82404,0,0
-0.65121,-0.83104,0,0
-0.65121,-0.83104,0,0
-0.65228,-0.85072,0,0
-0.74229,-0.85725,0,0
-0.67292,-0.85725,0,0
-0.65731,-0.89078,0,0
-0.65731,-0.89078,0,0
-0.69691,-0.88377,0,0
-0.70901,-0.90392,0,0
-0.67254,-0.90392,0,0
-0.68952,-0.93761,0,0
-0.68952,-0.93761,0,0
-0.6902,-0.9103,0,0
-0.63667,-0.93044,0,0
-0.75341,-0.92407,0,0
-0.67985,-0.89094,0,0
-0.67985,-0.89094,0,0
-0.61359,-0.89094,0,0
-0.63294,-0.87771,0,0
-0.62395,-0.88409,0,0
-0.6637,-0.89086,0,0
-0.6637,-0.89086,0,0
-0.69302,-0.88377,0,0
-0.64482,-0.86921,0,0
-0.66447,-0.87071,0,0
-0.63027,-0.84442,0,0
-0.63027,-0.84442,0,0
-0.67718,-0.85119,0,0
-0.65822,-0.85788,0,0
